,class
0,9
1,1
2,1
3,5
4,1
5,9
6,7
7,0
8,4
9,4
10,9
11,4
12,4
13,0
14,7
15,7
16,3
17,7
18,5
19,1
20,5
21,4
22,0
23,6
24,9
25,7
26,6
27,4
28,3
29,9
30,0
31,2
32,1
33,0
34,8
35,7
36,8
37,9
38,0
39,9
40,9
41,3
42,4
43,5
44,5
45,1
46,4
47,7
48,0
49,8
50,8
51,0
52,1
53,4
54,2
55,0
56,2
57,2
58,0
59,7
60,9
61,5
62,5
63,3
64,7
65,9
66,1
67,1
68,4
69,2
70,3
71,9
72,4
73,8
74,8
75,8
76,5
77,3
78,8
79,3
80,5
81,5
82,0
83,0
84,9
85,8
86,5
87,9
88,0
89,1
90,1
91,8
92,4
93,4
94,1
95,6
96,6
97,3
98,0
99,6
100,5
101,8
102,0
103,0
104,8
105,0
106,0
107,4
108,9
109,8
110,2
111,2
112,0
113,0
114,6
115,0
116,4
117,3
118,5
119,7
120,2
121,0
122,3
123,5
124,2
125,0
126,7
127,2
128,0
129,3
130,8
131,4
132,1
133,4
134,3
135,3
136,9
137,8
138,4
139,2
140,3
141,7
142,8
143,6
144,6
145,0
146,9
147,3
148,5
149,8
150,1
151,5
152,3
153,9
154,4
155,2
156,1
157,5
158,7
159,2
160,4
161,7
162,7
163,1
164,6
165,6
166,7
167,3
168,7
169,5
170,5
171,8
172,6
173,0
174,2
175,7
176,1
177,0
178,9
179,3
180,2
181,0
182,0
183,2
184,3
185,7
186,0
187,1
188,0
189,9
190,2
191,7
192,9
193,3
194,7
195,8
196,4
197,3
198,6
199,2
200,9
201,7
202,2
203,4
204,6
205,4
206,1
207,9
208,1
209,6
210,1
211,1
212,0
213,4
214,4
215,4
216,7
217,0
218,3
219,8
220,0
221,3
222,2
223,3
224,7
225,6
226,0
227,6
228,0
229,7
230,6
231,4
232,1
233,4
234,5
235,5
236,0
237,5
238,5
239,0
240,5
241,4
242,4
243,4
244,2
245,9
246,0
247,1
248,7
249,5
250,5
251,9
252,5
253,7
254,9
255,3
256,0
257,7
258,5
259,4
260,2
261,9
262,5
263,3
264,6
265,8
266,8
267,9
268,9
269,3
270,3
271,6
272,6
273,5
274,7
275,2
276,2
277,7
278,2
279,0
280,4
281,7
282,1
283,9
284,6
285,8
286,2
287,8
288,4
289,1
290,4
291,6
292,3
293,1
294,6
295,1
296,8
297,9
298,2
299,8
300,7
301,8
302,1
303,4
304,7
305,6
306,1
307,5
308,7
309,2
310,1
311,9
312,6
313,1
314,9
315,6
316,0
317,6
318,1
319,5
320,6
321,6
322,3
323,5
324,5
325,5
326,1
327,1
328,9
329,8
330,0
331,6
332,4
333,9
334,5
335,4
336,1
337,8
338,4
339,3
340,7
341,4
342,8
343,4
344,9
345,7
346,2
347,6
348,5
349,0
350,0
351,8
352,6
353,5
354,2
355,6
356,2
357,5
358,5
359,4
360,7
361,7
362,3
363,7
364,2
365,4
366,4
367,2
368,0
369,6
370,2
371,1
372,6
373,9
374,6
375,2
376,6
377,0
378,1
379,4
380,9
381,9
382,5
383,5
384,1
385,9
386,5
387,9
388,0
389,3
390,5
391,4
392,7
393,9
394,3
395,7
396,1
397,2
398,4
399,5
400,6
401,7
402,4
403,6
404,8
405,5
406,9
407,2
408,8
409,5
410,8
411,9
412,0
413,2
414,3
415,9
416,8
417,8
418,6
419,0
420,8
421,8
422,8
423,8
424,0
425,0
426,6
427,3
428,0
429,0
430,2
431,5
432,4
433,0
434,6
435,8
436,6
437,5
438,8
439,7
440,7
441,0
442,4
443,1
444,2
445,1
446,9
447,7
448,6
449,8
450,5
451,6
452,0
453,6
454,6
455,7
456,6
457,4
458,3
459,5
460,3
461,7
462,0
463,9
464,5
465,5
466,3
467,9
468,4
469,1
470,8
471,5
472,2
473,1
474,1
475,5
476,9
477,7
478,6
479,2
480,8
481,1
